tweet_id,clean_text,brand_reply_text,silver_intent
853,iphone 7+ and i have the most recent update for spotify,"@115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB",device_platform
857,"Yes, multiple times. No changes. I am Premium User an when @115890  send us users to Spotify there should be a bugfree running App 🤨",@115889 Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: https://t.co/KSq4qse4dE /RS,premium_billing
1869,"using a MacBook Pro with OS X El Capitan and the latest Spotify update, and an iPhone 6S with the latest software/Spotify updates!","@116128 Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB",device_platform
2934,Spotify 8.4.24.871 Android version 7.0 device: a brand new Huawei mate 9 . I will look like an ass if it's a matter of just updates😊,"@116387 Thanks. Is it happening over 3G/4G, WiFi, or both? Does logging out, fully closing the app, and restarting your device help? /KC",device_platform
2952,"What keywords besides ""playlist"", ""playlists"", + ""song"" would I use?","@116393 We suggest using keywords similar to those used in the suggested idea. If you need anything else, give us a shout /RB",playback_issue
5011,No just on my phone since I installed iOS 11. Mostly on 3G/4g. It’s very random when it decides not to work.,"@116887 Are you getting any error messages when it happens? Is it happening when you're using earphones, or even without them? /PL",device_platform
8424,I login with facebook (__email__) - but i think my email account for spotify is my old one (__email__)  that is now defunct. What can I do?,@117482 We'd recommend deleting your last tweet as it contains sensitive account info. You can DM it to us instead /NY https://t.co/ldFdZRiNAt,account_login
8673,"Thanks 4 the speedy response but I think I discovered what’s going on, does the desktop app have a way to play music from personal folders?",@117212 2: here: https://t.co/SgMwFS1ONz. Let us know if you have other questions /JU,playback_issue
8683,Chrome web player on dell laptop,@117526 Got it! Can you try using a different browser or an incognito window instead? Let us know how it goes /JU,device_platform
9373,iOS 11.0.3 and the Spotify version is 8.4.25,"@117673 Just to check, are you able to play music fine, but the lock-screen controls are unavailable? We'll keep an eye out for your reply /MU",device_platform
9375,I have logged in to multiple devices as well. All iPhones with iOS 11 updates. Same problem,@117673 Hmm. Could you give us the exact iOS 11 and Spotify app versions you're using? We'll see what else we can suggest /JU,device_platform
9380,Yes! It is a constant problem on the iOS 11 update. Like I said I’m not the only 1 encountering the problem.,@117673 Thanks. Can you try reinstalling the app? You can find the steps for your device at https://t.co/cxGHt0bCR8. Keep us posted /SJ,device_platform
27676,So why let non premium customers even select them.? Pointless.,"@122049 Rest assured, your feedback has been passed on to the right team to look into. Give us a shout if you have any other questions /ZO",premium_billing
27954,It's cool dw I thought it was a funny glitch. 😂😂 restarted the app and its all working now,@122124 Great! Glad to hear it's working. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ 🙂 /AC,app_technical
29608,"Hey! Here's what I'm currently using. No problem on my iPhone though, only on my iMac. Cheers! https://t.co/iGnEwvu03h",@122505 Thanks. Can you try logging out &gt; restarting your device &gt; logging back in help? Let us know how it goes /RS,device_platform
33422,I’m using the newest version of iOS and the 8.4.25 version of spotify,@123395 Thanks. Could you let us know the exact iOS device and version? We'll see what we can suggest /RS,device_platform
33432,Iphone 8 on ios11.1 and latest Spotify version - as available on app Store,@123396 Thanks. Does logging out &gt; restarting your device &gt; logging back in again make any difference? /KM,device_platform
38942,How about you guys just make it happen as it will be an increased revenue stream and it's the right thing to do?,@124502 We hear you loud and clear. We can’t make any promises but we’ll pass your feedback onto the right folks 🙂 /JI,playback_issue
38947,iphone 6s and i’m not sure but i’d assume the lastest update?,@124503 Can you also check the exact Spotify version you're using? Just go to Your Library &gt; Settings &gt; About &gt; Version 🙂 /RR,device_platform
38970,https://t.co/tGbLK4aErF This is what Breezeblocks should sound like! Just to make your job easier.,"@124511 Hmm, everything looks good on our end. Can you tell us the country that your account is set to? /SY",playback_issue
39765,"Work laptop(i7 8gb) Windows 10, chrome",@124710 Thanks. Are you getting any specific error messages? A screenshot would come in handy /MV,device_platform
42730,"Windows 7, 15GB Ram, Spotify version 1.0.66.478.g1296534d","@125451 Got it, Could you try reinstalling the app with the exact steps here: https://t.co/EqisDMwZAT. Let us know if it makes any difference /PB",device_platform
