id,customer_tweet_id,customer_text,brand_tweet_id,brand_reply_text,source,heuristic_bucket,difficulty_hint,has_brand_reply_visible_resolution,sampling_stratum,gold_intent,has_visible_resolution,gold_decision,gold_decision_reason,difficulty_tier
gs_0000,272737,@115888 why you don’t have a block song or artist thingy? N my feed this certain song keeps being played in my mixes &amp; I can’t stop it 😡,272738.0,@181117 1: Hey! We hear you loud and clear. We can’t make any promises but we’ll pass your feedback onto the right folks. Can you tell us more...,recovered,playback_issue,easy,True,playback_issue,playback_issue,False,escalate,feature request about blocking a song/artist; cannot be resolved through standard troubleshooting,easy
gs_0001,1892863,"@115888 can you stop playing""suggested songs""? I have songs in my playlist for a reason.",1892862.0,@564392 Hey Leah! Can you DM us your account's email address? We'll check things backstage and see what we can do /RI https://t.co/ldFdZR1cbT,recovered,playback_issue,easy,False,playback_issue,playback_issue,False,escalate,playback behavior / suggested songs issue; requires account-specific investigation,easy
gs_0002,67719,"@SpotifyCares can you add the song ""push it to the limit"" by Paul Engemann again?",2948914.0,@814422 Hey Martin! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /LP,original,playback_issue,easy,True,playback_issue,playback_issue,False,escalate,song unavailable due to licensing changes; cannot be resolved through standard troubleshooting,easy
gs_0003,2292749,@SpotifyCares do you have any idea when #reputation will be available to stream? 😊,2292748.0,"@653053 We're afraid we don't have any additional info to share. Not to worry, we'll have it available to you as soon as it's available to us /RA",recovered,playback_issue,easy,True,playback_issue,playback_issue,False,escalate,album unavailable for streaming; availability depends on when it becomes available to Spotify,easy
gs_0004,1170424,@SpotifyCares No. Just work it out and make sure when I shuffle it doesn’t play the same album for 5 songs in a row 🤷‍♀️ that simple,1170425.0,"@177269 Not to worry, we'll make sure your feedback reaches the right folks. For anything else, we're just a tweet away /JP",original,playback_issue,easy,True,playback_issue,playback_issue,False,escalate,shuffle playback behavior; user is requesting a change to how songs are shuffled,easy
gs_0005,1272625,"@SpotifyCares When playing a playlist on Wi-Fi or mobile data, it refuses to play the radio based off the playlist, I have made sure it's switched on.",1272623.0,"@417897 That's strange. Can you let us know the device, operating system, and Spotify version you're using? /RH",original,playback_issue,easy,True,playback_issue,playback_issue,False,auto_handle,playlist radio not playing; needs device and app details for troubleshooting,hard
gs_0006,697632,"@SpotifyCares I use a Samsung Galaxy. No matter what song I play, they all skip multiple times.",697630.0,@286442 Can you also send us the Android and Spotify versions you're running? /LO,original,playback_issue,easy,True,playback_issue,playback_issue,False,auto_handle,songs skipping repeatedly on Samsung Galaxy; needs device and app version details for troubleshooting,hard
gs_0007,2915183,@SpotifyCares Spotify currently won’t play any song on my laptop. It is up to date but the only message I get is “This song is not available. If you have the file on your computer you can import it“ and I have the playlist downloaded on my laptop and every song plays on my phone.,2915182.0,"@806944 Hey Spencer, help's here! Can you DM us your account's email address and username? We'll take a look backstage /AQ",recovered,playback_issue,easy,False,playback_issue,playback_issue,False,auto_handle,songs unavailable on laptop despite working on phone; requires device-specific troubleshooting,hard
gs_0008,1358956,@SpotifyCares No i don’t get a message. Like if i skip a song all the music stops - or if i pick a new album to shuffle it just won’t play anything,1358954.0,@436833 That's odd. How long has this been happening for? Does restarting the app make a difference? Let us know /CB,original,playback_issue,easy,True,playback_issue,playback_issue,False,auto_handle,playback stops when skipping or starting a new album; needs troubleshooting to identify the cause,hard
gs_0009,1786710,"@SpotifyCares why i can't play BTS-DNA from any playlist? it says the song is not available, i can only play it from the album directly",1786706.0,"@536781 Hey Jiminie! What device, operating system, and Spotify version are you using? Screenshots of what's happening would be helpful, too /JE",recovered,playback_issue,easy,True,playback_issue,playback_issue,False,auto_handle,song unavailable from playlists but playable directly from the album; needs device and app details for troubleshooting,hard
